dt,1075,1076,1077,1125,1126,1127,1128,1129,1130,1131,1132,1172,1173,1174,1175,1176,1177,1178,1179,1180,1181,1182,1183,1184,1221,1222,1223,1224,1225,1227,1228,1229,1230,1231,1232,1233,1234,1235,1272,1273,1274,1278,1279,1280,1281,1282,1283,1284,1285,1286,1287,1326,1327,1331,1332,1333,1334,1335,1336,1337,1338,1339,1376,1377,1378,1380,1382,1383,1384,1385,1386,1387,1388,1389,1390,1426,1431,1434,1435,1436,1437,1438,1439,1441,1442,1480,1482,1483,1530,1532,1533,1580,1630,1684,1733,1734,1783,2068,2069,2118,2119,2168
2016-05-31 23:00:00,34.0,77.0,58.0,53.0,118.0,211.0,331.0,338.0,434.0,121.0,8.0,10.0,12.0,20.0,16.0,19.0,341.0,431.0,392.0,354.0,388.0,384.0,50.0,6.0,4.0,10.0,15.0,23.0,3.0,190.0,350.0,341.0,489.0,608.0,925.0,413.0,161.0,54.0,9.0,12.0,5.0,8.0,12.0,103.0,497.0,656.0,177.0,27.0,122.0,96.0,34.0,33.0,30.0,23.0,171.0,177.0,144.0,16.0,18.0,47.0,24.0,8.0,16.0,10.0,10.0,8.0,23.0,73.0,185.0,80.0,15.0,21.0,13.0,9.0,16.0,9.0,12.0,1.0,7.0,18.0,15.0,9.0,6.0,5.0,3.0,8.0,2.0,4.0,7.0,9.0,15.0,2.0,2.0,12.0,10.0,430.0,153.0,157.0,17.0,192.0,77.0,132.0
2016-06-01 00:00:00,26.0,30.0,19.0,39.0,71.0,163.0,181.0,219.0,326.0,56.0,3.0,7.0,6.0,14.0,5.0,15.0,245.0,279.0,243.0,225.0,258.0,240.0,31.0,2.0,8.0,10.0,16.0,19.0,2.0,165.0,220.0,229.0,313.0,435.0,559.0,251.0,89.0,30.0,9.0,14.0,5.0,3.0,6.0,43.0,378.0,425.0,48.0,8.0,79.0,67.0,24.0,27.0,41.0,11.0,104.0,99.0,72.0,9.0,16.0,39.0,18.0,5.0,17.0,11.0,10.0,10.0,12.0,34.0,115.0,43.0,23.0,10.0,17.0,13.0,12.0,20.0,14.0,1.0,1.0,15.0,14.0,6.0,3.0,4.0,2.0,3.0,13.0,5.0,7.0,10.0,6.0,4.0,1.0,1.0,6.0,262.0,107.0,114.0,7.0,169.0,6.0,85.0
2016-06-01 01:00:00,14.0,21.0,6.0,26.0,49.0,101.0,136.0,144.0,252.0,27.0,6.0,2.0,7.0,7.0,3.0,25.0,173.0,198.0,126.0,104.0,150.0,138.0,21.0,1.0,4.0,7.0,11.0,12.0,1.0,115.0,185.0,149.0,208.0,211.0,351.0,111.0,64.0,20.0,4.0,8.0,2.0,3.0,3.0,44.0,175.0,239.0,14.0,12.0,42.0,48.0,14.0,24.0,19.0,4.0,58.0,57.0,44.0,6.0,8.0,27.0,16.0,1.0,13.0,8.0,9.0,7.0,7.0,25.0,70.0,22.0,14.0,18.0,18.0,7.0,3.0,7.0,12.0,2.0,5.0,22.0,8.0,5.0,3.0,8.0,2.0,6.0,9.0,4.0,3.0,9.0,8.0,3.0,5.0,0.0,0.0,137.0,1.0,27.0,16.0,105.0,4.0,42.0
2016-06-01 02:00:00,5.0,25.0,4.0,18.0,25.0,42.0,74.0,123.0,245.0,30.0,7.0,1.0,6.0,4.0,0.0,4.0,120.0,115.0,90.0,81.0,106.0,99.0,20.0,1.0,4.0,2.0,7.0,6.0,2.0,61.0,163.0,67.0,136.0,124.0,216.0,60.0,19.0,8.0,2.0,5.0,0.0,5.0,1.0,24.0,98.0,129.0,8.0,4.0,26.0,26.0,13.0,16.0,9.0,4.0,41.0,35.0,16.0,1.0,5.0,16.0,6.0,5.0,13.0,6.0,2.0,2.0,7.0,10.0,40.0,14.0,6.0,7.0,11.0,2.0,8.0,4.0,11.0,0.0,5.0,6.0,13.0,3.0,2.0,1.0,0.0,3.0,8.0,3.0,5.0,7.0,11.0,4.0,8.0,0.0,1.0,25.0,0.0,11.0,0.0,31.0,0.0,10.0
2016-06-01 03:00:00,2.0,5.0,3.0,4.0,16.0,36.0,36.0,85.0,241.0,24.0,5.0,0.0,0.0,3.0,0.0,2.0,91.0,68.0,62.0,53.0,43.0,93.0,13.0,0.0,1.0,1.0,6.0,9.0,0.0,45.0,119.0,51.0,80.0,95.0,147.0,57.0,22.0,12.0,2.0,1.0,2.0,1.0,2.0,12.0,77.0,71.0,2.0,2.0,11.0,16.0,5.0,6.0,5.0,4.0,35.0,23.0,6.0,2.0,4.0,11.0,4.0,7.0,9.0,4.0,1.0,3.0,4.0,14.0,28.0,24.0,4.0,6.0,9.0,1.0,5.0,4.0,15.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,0.0,7.0,6.0,1.0,4.0,8.0,4.0,3.0,7.0,0.0,1.0,44.0,0.0,13.0,4.0,51.0,1.0,0.0
2016-06-01 04:00:00,1.0,8.0,3.0,6.0,26.0,27.0,46.0,54.0,129.0,11.0,4.0,1.0,7.0,6.0,1.0,1.0,44.0,53.0,55.0,58.0,96.0,120.0,10.0,2.0,0.0,2.0,6.0,10.0,0.0,41.0,98.0,48.0,64.0,83.0,159.0,50.0,30.0,9.0,2.0,1.0,0.0,3.0,4.0,28.0,74.0,73.0,10.0,3.0,30.0,26.0,6.0,13.0,1.0,2.0,43.0,39.0,16.0,3.0,5.0,11.0,6.0,0.0,6.0,2.0,3.0,4.0,4.0,25.0,57.0,33.0,5.0,11.0,9.0,5.0,7.0,2.0,13.0,0.0,5.0,11.0,7.0,4.0,1.0,1.0,1.0,8.0,7.0,4.0,7.0,10.0,8.0,5.0,4.0,0.0,0.0,0.0,2.0,23.0,3.0,33.0,3.0,1.0
2016-06-01 05:00:00,7.0,31.0,17.0,8.0,43.0,51.0,59.0,76.0,50.0,18.0,1.0,5.0,17.0,20.0,5.0,0.0,29.0,55.0,100.0,109.0,320.0,178.0,14.0,8.0,0.0,3.0,8.0,8.0,2.0,31.0,91.0,125.0,137.0,137.0,109.0,75.0,75.0,47.0,2.0,0.0,2.0,6.0,7.0,41.0,129.0,112.0,26.0,18.0,60.0,59.0,25.0,3.0,2.0,8.0,100.0,144.0,124.0,17.0,16.0,30.0,14.0,4.0,2.0,2.0,3.0,2.0,3.0,73.0,151.0,94.0,33.0,17.0,12.0,6.0,6.0,1.0,13.0,3.0,1.0,27.0,26.0,7.0,3.0,1.0,1.0,7.0,10.0,13.0,12.0,8.0,7.0,8.0,5.0,0.0,0.0,9.0,3.0,13.0,0.0,78.0,4.0,59.0
2016-06-01 06:00:00,23.0,54.0,78.0,41.0,108.0,126.0,121.0,231.0,127.0,54.0,12.0,9.0,32.0,41.0,17.0,3.0,58.0,158.0,270.0,321.0,1040.0,619.0,68.0,42.0,1.0,6.0,11.0,17.0,4.0,52.0,175.0,348.0,392.0,328.0,210.0,261.0,208.0,92.0,4.0,4.0,3.0,22.0,33.0,142.0,421.0,338.0,75.0,40.0,188.0,154.0,68.0,1.0,0.0,31.0,269.0,450.0,431.0,59.0,62.0,49.0,12.0,3.0,2.0,0.0,1.0,4.0,7.0,250.0,463.0,292.0,60.0,34.0,12.0,16.0,10.0,1.0,15.0,12.0,15.0,41.0,56.0,15.0,7.0,3.0,8.0,19.0,20.0,25.0,25.0,7.0,7.0,18.0,10.0,11.0,7.0,4.0,11.0,78.0,21.0,174.0,7.0,82.0
2016-06-01 07:00:00,34.0,151.0,163.0,73.0,170.0,250.0,212.0,370.0,218.0,96.0,37.0,14.0,53.0,63.0,23.0,11.0,97.0,249.0,506.0,543.0,1133.0,768.0,160.0,45.0,8.0,2.0,16.0,29.0,9.0,102.0,263.0,572.0,755.0,536.0,408.0,480.0,430.0,168.0,5.0,5.0,5.0,20.0,58.0,257.0,644.0,552.0,226.0,103.0,331.0,318.0,127.0,1.0,1.0,99.0,575.0,917.0,695.0,182.0,121.0,144.0,50.0,11.0,2.0,0.0,1.0,4.0,13.0,559.0,804.0,466.0,73.0,74.0,25.0,26.0,38.0,0.0,18.0,26.0,12.0,42.0,67.0,39.0,20.0,10.0,23.0,23.0,20.0,20.0,35.0,4.0,12.0,26.0,8.0,3.0,7.0,90.0,227.0,78.0,8.0,119.0,15.0,63.0
